NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
ACE;SKU-00001;PROD00001;PIECE;4000;6500;CDF;10;4;0;Bouillie;
AFRICA CHOICE;SKU-00002;PROD00002;PIECE;1500;2500;CDF;24;2;0;Thé;
AMAMA;SKU-00003;PROD00003;PIECE;340;500;CDF;500;50;0;Biscuit;
AMARULA 1L;SKU-00004;PROD00004;PIECE;28000;35000;CDF;6;1;0;Boisson;
AMARULA 375CL;SKU-00005;PROD00005;PIECE;12000;17000;CDF;12;2;0;Boisson;
AMARULA 750ml;SKU-00006;PROD00006;PIECE;11000;30000;CDF;12;2;0;Boisson;
AMOR 1L;SKU-00007;PROD00007;PIECE;1000;1500;CDF;132;12;0;Eau;
AMOR 500ML;SKU-00008;PROD00008;PIECE;410;500;CDF;720;100;0;Eau;
AMPOULE 10W;SKU-00009;PROD00009;PIECE;1650;2500;CDF;10;2;0;Ampoule;
AMPOULE 15W;SKU-00010;PROD00010;PIECE;1950;3000;CDF;10;2;0;Ampoule;
AMPOULE 20W;SKU-00011;PROD00011;PIECE;2400;4000;CDF;10;2;0;Ampoule;
AMPOULE 5W;SKU-00012;PROD00012;PIECE;1400;2000;CDF;10;2;0;Ampoule;
ANANAS TANGO;SKU-00013;PROD00013;PIECE;333;500;CDF;1200;2;0;Boisson;
APPYPINE;SKU-00014;PROD00014;PIECE;915;2000;CDF;48;2;0;Boisson;
AUTUMN;SKU-00015;PROD00015;PIECE;7165;9500;CDF;12;2;0;Boisson;
BABY FOOD;SKU-00016;PROD00016;PIECE;360;500;CDF;250;2;0;Biscuit;
BAYGON GM;SKU-00017;PROD00017;PIECE;6375;8500;CDF;12;2;0;Insecticide;
BAYGON PM;SKU-00018;PROD00018;PIECE;4500;6000;CDF;12;2;0;Insecticide;
BLUEBAND 225G;SKU-00019;PROD00019;PIECE;2500;3500;CDF;24;2;0;Beure;
BLUEBAND 450G;SKU-00020;PROD00020;PIECE;5000;7000;CDF;12;2;0;Beure;
BLUEBAND 900G;SKU-00021;PROD00021;PIECE;10000;13000;CDF;6;2;0;Beure;
BON DEUJ. LAIT CONCENTRE;SKU-00022;PROD00022;PIECE;1700;2000;CDF;20;2;0;Lait;
BOOM 1,5KG;SKU-00023;PROD00023;PIECE;10750;14000;CDF;12;2;0;Savon;
BOOM 150G EN CARTON;SKU-00024;PROD00024;PIECE;900;1500;CDF;60;2;0;Savon;
BOOM 1KG;SKU-00025;PROD00025;PIECE;6500;8500;CDF;12;2;0;Savon;
BOOM 500G;SKU-00026;PROD00026;PIECE;3083;4500;CDF;12;2;0;Savon;
BOOM 500G EN CARTON;SKU-00027;PROD00027;PIECE;3000;4500;CDF;36;2;0;Savon;
BOOM BORA;SKU-00028;PROD00028;PIECE;415;500;CDF;120;2;0;Boisson;
BOOM LIQUIDE;SKU-00029;PROD00029;PIECE;4000;6000;CDF;25;2;0;Savon;
BROSSE A CHAUSSURE;SKU-00030;PROD00030;PIECE;415;1000;CDF;12;2;0;Brosse;
BROSSE A DENT ORDINAIRE;SKU-00031;PROD00031;PIECE;200;500;CDF;12;2;0;Brosse;
BROSSE A DENT SPECIAL;SKU-00032;PROD00032;PIECE;290;1000;CDF;24;2;0;Brosse;
CADENA;SKU-00033;PROD00033;PIECE;1200;5000;CDF;12;2;0;Accessoires;
CASTLE LITE;SKU-00034;PROD00034;PIECE;2830;4000;CDF;48;2;0;Boisson;
CERELAC;SKU-00035;PROD00035;PIECE;6500;7500;CDF;24;2;0;Bouillie;
CERES;SKU-00036;PROD00036;PIECE;3500;5500;CDF;48;2;0;Boisson;
CERVELAS 10KG;SKU-00037;PROD00037;kg;55000;8000;CDF;10;0;0;Cervelas;
CHAMDOR;SKU-00038;PROD00038;PIECE;65000;14500;CDF;6;2;0;Boisson;
CHELSEA;SKU-00039;PROD00039;PIECE;1300;2500;CDF;48;2;0;Biscuit;
CHOCOLAT 365;SKU-00040;PROD00040;PIECE;245;500;CDF;288;2;0;Chocolat;
CINTHOL 125G;SKU-00041;PROD00041;PIECE;692;2500;CDF;24;2;0;Savon;
CINTHOL 175G;SKU-00042;PROD00042;PIECE;2000;3000;CDF;48;2;0;Savon;
CIRAGE LIQUIDE CAFE;SKU-00043;PROD00043;PIECE;1375;2500;CDF;12;2;0;Cirage;
CIRAGE LIQUIDE NEUTRE;SKU-00044;PROD00044;PIECE;1375;2500;CDF;12;2;0;Cirage;
CIRAGE LIQUIDE NOIR;SKU-00045;PROD00045;PIECE;1375;2500;CDF;12;2;0;Cirage;
CIRAGE PATTE CAFE;SKU-00046;PROD00046;PIECE;600;1500;CDF;12;2;0;Cirage;
CIRAGE PATTE NEUTRE;SKU-00047;PROD00047;PIECE;600;1500;CDF;12;2;0;Cirage;
CIRAGE PATTE NOIR;SKU-00048;PROD00048;PIECE;600;1500;CDF;12;2;0;Cirage;
COCA 2L;SKU-00049;PROD00049;PIECE;3300;5000;CDF;120;2;0;Boisson;
COCA 350ML;SKU-00050;PROD00050;PIECE;1040;1500;CDF;240;2;0;Boisson;
COCA 500ML;SKU-00051;PROD00051;PIECE;1350;2000;CDF;192;2;0;Boisson;
COCA TANGO;SKU-00052;PROD00052;PIECE;330;500;CDF;240;12;0;Boisson;
COLGATE GM;SKU-00053;PROD00053;PIECE;1700;3500;CDF;24;2;0;Dentifrice;
