NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
ACE ;;PROD00001;PIECE;4000;6500;CDF;10;4;0;Bouillie;
AFRICA CHOICE;;PROD00002;PIECE;1500;2500;CDF;24;2;0;Thé;
AMAMA;;PROD00003;PIECE;340;500;CDF;500;50;0;biscuit;
AMARULA 1L;;PROD00004;PIECE;28000;35000;CDF;6;1;0;boisson;
AMARULA 375CL;;PROD00005;PIECE;12000;17000;CDF;12;2;0;boisson;
AMARULA 750ml;;PROD00006;PIECE;11000;30000;CDF;12;2;0;boisson;
AMOR 1L;;PROD00007;PIECE;1000;1500;CDF;132;12;0;Eau;
AMOR 500ML;;PROD00008;PIECE;410;500;CDF;720;100;0;Eau;
AMPOULE 10W;;PROD00009;PIECE;1650;2500;CDF;10;2;0;Ampoule;
AMPOULE 15W;;PROD00010;PIECE;1950;3000;CDF;10;2;0;Ampoule;
AMPOULE 20W;;PROD00011;PIECE;2400;4000;CDF;10;2;0;Ampoule;
AMPOULE 5W;;PROD00012;PIECE;1400;2000;CDF;10;2;0;Ampoule;
ANANAS TANGO;;PROD00013;PIECE;333;500;CDF;1200;2;0;boisson;
APPYPINE;;PROD00014;PIECE;915;2000;CDF;48;2;0;boisson;
AUTUMN;;PROD00015;PIECE;7165;9500;CDF;12;2;0;boisson;
BABY FOOD;;PROD00016;PIECE;360;500;CDF;250;2;0;biscuit;
BAYGON GM;;PROD00017;PIECE;6375;8500;CDF;12;2;0;Insecticide;
BAYGON PM;;PROD00018;PIECE;4500;6000;CDF;12;2;0;Insecticide;
BLUEBAND 225G;;PROD00019;PIECE;2500;3500;CDF;24;2;0;Beure;
BLUEBAND 450G;;PROD00020;PIECE;5000;7000;CDF;12;2;0;Beure;
BLUEBAND 900G;;PROD00021;PIECE;10000;13000;CDF;6;2;0;Beure;
BON DEUJ. LAIT CONCENTRE;;PROD00022;PIECE;1700;2000;CDF;20;2;0;Lait ;
BOOM 1,5KG ;;PROD00023;PIECE;10750;14000;CDF;12;2;0;Savon;
BOOM 150G EN CARTON;;PROD00024;PIECE;900;1500;CDF;60;2;0;Savon;
BOOM 1KG;;PROD00025;PIECE;6500;8500;CDF;12;2;0;Savon;
BOOM 500G;;PROD00026;PIECE;3083;4500;CDF;12;2;0;Savon;
BOOM 500G EN CARTON;;PROD00027;PIECE;3000;4500;CDF;36;2;0;Savon;
BOOM BORA;;PROD00028;PIECE;415;500;CDF;120;2;0;boisson;
BOOM LIQUIDE ;;PROD00029;PIECE;4000;6000;CDF;25;2;0;Savon ;
BROSSE A CHAUSSURE;;PROD00030;PIECE;415;1000;CDF;12;2;0;brosse;
BROSSE A DENT ORDINAIRE;;PROD00031;PIECE;200;500;CDF;12;2;0;brosse;
BROSSE A DENT SPECIAL;;PROD00032;PIECE;290;1000;CDF;24;2;0;brosse;
CADENA;;PROD00033;PIECE;1200;5000;CDF;12;2;0;accessoires;
CASTLE LITE;;PROD00034;PIECE;2830;4000;CDF;48;2;0;boisson;
CERELAC;;PROD00035;PIECE;6500;7500;CDF;24;2;0;Bouillie;
CERES ;;PROD00036;PIECE;3500;5500;CDF;48;2;0;boisson;
CERVELAS 10KG;;PROD00037;kg;55000;8000;CDF;10;0;0;cervelas;
CHAMDOR;;PROD00038;PIECE;65000;14500;CDF;6;2;0;boisson;
CHELSEA;;PROD00039;PIECE;1300;2500;CDF;48;2;0;Biscuit;
CHOCOLAT 365;;PROD00040;PIECE;245;500;CDF;288;2;0;chocolat;
CINTHOL 125G;;PROD00041;PIECE;692;2500;CDF;24;2;0;savon;
CINTHOL 175G;;PROD00042;PIECE;2000;3000;CDF;48;2;0;savon;
CIRAGE LIQUIDE CAFE;;PROD00043;PIECE;1375;2500;CDF;12;2;0;Cirage;
CIRAGE LIQUIDE NEUTRE;;PROD00044;PIECE;1375;2500;CDF;12;2;0;Cirage;
CIRAGE LIQUIDE NOIR;;PROD00045;PIECE;1375;2500;CDF;12;2;0;Cirage;
CIRAGE PATTE CAFE;;PROD00046;PIECE;600;1500;CDF;12;2;0;Cirage;
CIRAGE PATTE NEUTRE;;PROD00047;PIECE;600;1500;CDF;12;2;0;Cirage;
CIRAGE PATTE NOIR;;PROD00048;PIECE;600;1500;CDF;12;2;0;Cirage;
COCA 2L;;PROD00049;PIECE;3300;5000;CDF;120;2;0;boisson;
COCA 350ML;;PROD00050;PIECE;1040;1500;CDF;240;2;0;boisson;
COCA 500ML;;PROD00051;PIECE;1350;2000;CDF;192;2;0;boisson;
COCA TANGO;;PROD00052;PIECE;330;500;CDF;240;12;0;boisson;
COLGATE GM;;PROD00053;PIECE;1700;3500;CDF;24;2;0;Dentifrice;
COLGATE PM;;PROD00054;PIECE;1200;2000;CDF;24;2;0;Dentifrice;
COOKIES Bleu;;PROD00055;PIECE;765;1500;CDF;45;2;0;biscuit;
COOKIES JAUNE;;PROD00056;PIECE;1000;2500;CDF;45;2;0;biscuit;
CORN FLAKES 1kg;;PROD00057;PIECE;6500;9000;CDF;12;2;0;Bouillie;
COWBELL 1800G;;PROD00058;PIECE;42000;53000;CDF;6;2;0;lait;
COWBELL 2500G;;PROD00059;PIECE;62500;73000;CDF;6;2;0;lait;
COWBELL 250G;;PROD00060;PIECE;8500;10000;CDF;24;2;0;lait;
COWBELL 400G;;PROD00061;PIECE;11500;14000;CDF;24;2;0;lait;
COWBELL 800G;;PROD00062;PIECE;23000;28000;CDF;12;2;0;lait;
COWBELL SACHET;;PROD00063;PIECE;300;500;CDF;430;2;0;Lait ;
CREMBOS;;PROD00064;PIECE;335;500;CDF;240;2;0;biscuit;
CUISSE 15KG;;PROD00065;kg;83000;9000;CDF;15;2;0;vivre frais;
CULINO 1L;;PROD00066;PIECE;15000;18000;CDF;6;2;0;Mayonaise;
CULINO 250ML;;PROD00067;PIECE;5000;6500;CDF;12;2;0;Mayonaise;
CULINO 500ML;;PROD00068;PIECE;8000;10000;CDF;12;2;0;Mayonaise;
DANONE;;PROD00069;PIECE;1050;2000;CDF;24;2;0;yahourt;
